epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4663.88,0.72284,2.8281,1.26638,0.66589,0.66483,0.69992,0.62503,0.47935,2.02034,1.14651,0.00333197,0.00333197,0.00333197
2,9414.45,0.61211,1.54049,1.14226,0.87926,0.90051,0.90414,0.82364,0.44674,1.14945,1.09575,0.00653333,0.00653333,0.00653333
3,14075.2,0.60212,1.21657,1.12757,0.84098,0.85633,0.89734,0.81297,0.46779,0.67551,1.10521,0.00960269,0.00960269,0.00960269
4,18734.5,0.56081,0.97478,1.10237,0.906,0.94463,0.93096,0.87227,0.37726,0.35056,1.00796,0.009406,0.009406,0.009406
5,23652.6,0.50786,0.83575,1.07198,0.89021,0.97793,0.92947,0.8804,0.34096,0.28531,0.99128,0.009208,0.009208,0.009208
6,28367,0.47443,0.77386,1.05473,0.91963,0.96925,0.93181,0.88805,0.33448,0.25807,0.97748,0.00901,0.00901,0.00901
7,33116,0.45509,0.73705,1.04833,0.91298,0.97703,0.94798,0.90542,0.32203,0.24458,0.98174,0.008812,0.008812,0.008812
8,38079.5,0.43899,0.70308,1.03951,0.9196,0.98712,0.94638,0.90766,0.31503,0.22475,0.96978,0.008614,0.008614,0.008614
9,42915.6,0.42613,0.67916,1.03461,0.92933,0.98115,0.95797,0.92297,0.30432,0.20882,0.96042,0.008416,0.008416,0.008416
10,47548.4,0.41732,0.66478,1.03201,0.94421,0.97163,0.9689,0.93122,0.30787,0.20757,0.95846,0.008218,0.008218,0.008218
11,52222.7,0.41162,0.64558,1.03159,0.94225,0.97876,0.96902,0.93456,0.29891,0.19846,0.9563,0.00802,0.00802,0.00802
12,56917.2,0.40295,0.63134,1.02652,0.94892,0.9821,0.97423,0.94121,0.29333,0.19609,0.95448,0.007822,0.007822,0.007822
13,61468.4,0.39675,0.61445,1.02254,0.96314,0.98102,0.98191,0.94914,0.29375,0.18884,0.95074,0.007624,0.007624,0.007624
14,66226.9,0.39055,0.60757,1.02092,0.96469,0.97974,0.98109,0.94876,0.28846,0.18152,0.94956,0.007426,0.007426,0.007426
15,70624.1,0.38805,0.59739,1.02018,0.97153,0.98312,0.98744,0.95465,0.28879,0.17824,0.95099,0.007228,0.007228,0.007228
16,74954.9,0.38239,0.58719,1.01801,0.97172,0.98374,0.98704,0.95656,0.2844,0.17314,0.94786,0.00703,0.00703,0.00703
17,79300.8,0.38084,0.57899,1.01874,0.97593,0.98605,0.98922,0.95955,0.28375,0.17287,0.94604,0.006832,0.006832,0.006832
18,83643.4,0.37518,0.5664,1.01555,0.97917,0.98783,0.98934,0.96024,0.28391,0.16956,0.94441,0.006634,0.006634,0.006634
