epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.186,1.29405,2.49615,2.15539,0.54327,0.67768,0.50162,0.48277,0.65524,1.5388,1.36078,0.0671753,0.000164948,0.000164948
2,505.013,0.84132,1.7412,1.75644,0.40359,0.60271,0.49543,0.42703,0.70176,1.46026,1.41996,0.0340064,0.000329426,0.000329426
3,755.89,0.74349,1.61617,1.65405,0.31637,0.81253,0.51359,0.49538,0.61548,1.36252,1.1794,0.000835347,0.000491704,0.000491704
4,1007.06,0.7708,1.71101,1.67736,0.47883,0.67128,0.46127,0.44383,0.54703,2.03991,1.20792,0.0004901,0.0004901,0.0004901
5,1258.27,0.74155,1.59184,1.68444,0.33557,0.83788,0.45747,0.414,0.57385,1.29962,1.16656,0.0004868,0.0004868,0.0004868
6,1508.84,0.73941,1.55329,1.63832,0.32267,0.84474,0.47366,0.3967,0.51877,1.53305,0.91147,0.0004835,0.0004835,0.0004835
7,1759.69,0.72007,1.51531,1.62015,0.4226,0.7475,0.53765,0.51304,0.50506,1.27825,0.96724,0.0004802,0.0004802,0.0004802
8,2010.82,0.68282,1.42843,1.58539,0.63988,0.59714,0.59803,0.58192,0.51549,1.17336,0.92343,0.0004769,0.0004769,0.0004769
9,2261.78,0.60597,1.45724,1.51097,0.32712,0.83939,0.55544,0.52885,0.45393,1.09107,0.82156,0.0004736,0.0004736,0.0004736
10,2512.49,0.64623,1.44874,1.51281,0.34953,0.87656,0.58268,0.5788,0.42524,1.20009,0.7748,0.0004703,0.0004703,0.0004703
11,2763.12,0.56398,1.44031,1.47639,0.56313,0.70044,0.5719,0.55538,0.52039,1.17401,0.84004,0.000467,0.000467,0.000467
12,3013.66,0.61017,1.35052,1.5043,0.3799,0.89686,0.58671,0.56209,0.47011,1.09248,0.8973,0.0004637,0.0004637,0.0004637
13,3264.64,0.59977,1.4393,1.48676,0.6128,0.6919,0.57583,0.56448,0.49437,1.07037,0.85126,0.0004604,0.0004604,0.0004604
14,3515.42,0.6287,1.41695,1.50981,0.38371,0.8318,0.51586,0.50396,0.49783,1.18482,0.79961,0.0004571,0.0004571,0.0004571
15,3766.2,0.59446,1.37839,1.47837,0.36655,0.88404,0.59027,0.58714,0.43175,1.0693,0.75392,0.0004538,0.0004538,0.0004538
16,4017.27,0.53441,1.38053,1.41852,0.36825,0.90981,0.60376,0.58927,0.43154,1.06081,0.75574,0.0004505,0.0004505,0.0004505
17,4268.32,0.55428,1.36534,1.43279,0.60048,0.62987,0.57248,0.5631,0.33437,1.05464,0.63717,0.0004472,0.0004472,0.0004472
18,4519.07,0.60103,1.42058,1.48812,0.43967,0.86829,0.57901,0.56877,0.38335,1.14233,0.69091,0.0004439,0.0004439,0.0004439
19,4769.78,0.53743,1.3535,1.39237,0.45152,0.85143,0.55329,0.54736,0.39935,1.08185,0.75071,0.0004406,0.0004406,0.0004406
20,5020.48,0.53252,1.37156,1.41709,0.44488,0.85364,0.58824,0.57192,0.41034,1.03936,0.73782,0.0004373,0.0004373,0.0004373
21,5271.04,0.51788,1.31945,1.39722,0.43084,0.86492,0.57731,0.56863,0.44909,1.02407,0.74685,0.000434,0.000434,0.000434
22,5521.75,0.48823,1.26219,1.37427,0.40384,0.86769,0.57736,0.57599,0.37844,1.02144,0.6432,0.0004307,0.0004307,0.0004307
23,5772.46,0.48235,1.27418,1.34358,0.3777,0.8365,0.59812,0.59651,0.44366,0.9994,0.76217,0.0004274,0.0004274,0.0004274
24,6023.53,0.54459,1.29608,1.40929,0.43695,0.80339,0.59229,0.58841,0.43792,1.02571,0.71003,0.0004241,0.0004241,0.0004241
25,6274.24,0.46604,1.27233,1.3378,0.46194,0.79951,0.57795,0.5753,0.44322,1.03963,0.72555,0.0004208,0.0004208,0.0004208
26,6524.98,0.50851,1.29589,1.36925,0.62749,0.67763,0.59192,0.59019,0.42629,1.0183,0.71107,0.0004175,0.0004175,0.0004175
27,6775.49,0.44127,1.23871,1.33433,0.57102,0.71811,0.58516,0.57818,0.39816,1.02565,0.67386,0.0004142,0.0004142,0.0004142
28,7026.21,0.49283,1.23972,1.41244,0.38821,0.87812,0.60627,0.59525,0.44868,0.95496,0.76051,0.0004109,0.0004109,0.0004109
29,7276.93,0.49389,1.22763,1.3644,0.45757,0.77676,0.58453,0.57516,0.41365,0.98454,0.74106,0.0004076,0.0004076,0.0004076
30,7527.64,0.49096,1.27248,1.34937,0.48899,0.83799,0.61333,0.60938,0.42924,0.93357,0.72468,0.0004043,0.0004043,0.0004043
31,7778.38,0.46879,1.23198,1.324,0.47517,0.81282,0.62239,0.62185,0.41107,0.9215,0.69557,0.000401,0.000401,0.000401
32,8029.18,0.44569,1.19665,1.33342,0.64976,0.70527,0.6149,0.61163,0.4216,0.93735,0.70994,0.0003977,0.0003977,0.0003977
33,8280.09,0.45709,1.18926,1.28939,0.66254,0.66752,0.62076,0.61537,0.44575,0.93703,0.78647,0.0003944,0.0003944,0.0003944
34,8530.74,0.47314,1.24152,1.33836,0.47396,0.73823,0.58929,0.58217,0.45029,0.96534,0.75558,0.0003911,0.0003911,0.0003911
35,8781.27,0.43146,1.23072,1.31124,0.4531,0.7887,0.59197,0.58226,0.33162,0.97715,0.584,0.0003878,0.0003878,0.0003878
36,9031.96,0.45022,1.22942,1.32348,0.38585,0.86767,0.59685,0.5934,0.3799,0.98592,0.63999,0.0003845,0.0003845,0.0003845
37,9282.78,0.51749,1.25377,1.37697,0.36927,0.89849,0.61229,0.60913,0.45493,0.98595,0.7348,0.0003812,0.0003812,0.0003812
38,9533.23,0.45067,1.20392,1.31967,0.40874,0.88362,0.60253,0.59725,0.36481,0.98617,0.61498,0.0003779,0.0003779,0.0003779
39,9783.94,0.47546,1.23542,1.32345,0.47034,0.86972,0.61753,0.60829,0.36439,0.98498,0.63827,0.0003746,0.0003746,0.0003746
40,10034.5,0.43567,1.22386,1.29527,0.44543,0.8715,0.6186,0.60989,0.40971,1.13056,0.66444,0.0003713,0.0003713,0.0003713
41,10285.2,0.44805,1.23871,1.33284,0.45861,0.84077,0.61893,0.60967,0.39222,0.99893,0.64962,0.000368,0.000368,0.000368
